	DG408	DG426	DG432	EK520	LB01	LB03	LB06	LB10	LB13	LB178	LB179	BB231	BB232	ME2528	ME2530	MT334	MT348	WE457	WE458	WE464	CP469	CP470	BB089	BB095	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KE1474	KE1475	KE2263	KE2265	KE2268	KE2564	KE2565	KE2581	KSG1471	KSG1507	LU2555	LU2556	OP1909	OP1910	OP1911	OP2345	OP2346	OP2347	OP2456	OP2459	OP2460	GM173	GM7	GM9	GM10	GM11	GM15	GM20	GM41	GM1435	GM1436	GM1437	GM1438	GM1440	GM1442	GM1446	GM1448	GM1455	GM1457	GM1459	GM1467	GM1468	GM1474	GM1476	GM1480	GM1482	GM1485	GM1494	GM1496	GM1497	GM1500	GM1501	GM1502	GM1504	GM1507	GM1509
OTU_36640	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.96808896938402	-3.75145784952013	-1.75705795002243	-2.06239967830724	-2.31681239552726	-2.65344648580362	-1.7111734779451	-2.62498270485512	-2.77389832300729	-2.63020066050895	-2.4555965698192	-2.76312862354697	-2.23962957741296	-3.3365956434669	-2.73028550794225	-3.12337647829232	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-1.32778793807358	-1.75882678142762	-1.62017659437624	-1.92450049480166	-1.92254569605325	-1.72770613616102	-2.14050895153394	-2.56708248070472	-1.7993175635868	-1.54002731710011	-2.55335063215326	-2.10859147346345	-1.98539186938929	-1.38957443949066	-1.84133128444846	-1.9390671551331	-2.28552184220391	-1.40351598815829	-2.05782467933394	-2.13943866945226	-1.51801351916181	-1.57222397162397	-1.99327380148126	-1.70778044078534	-1.62015104302348	-2.31492611732627	-2.32299722323297	-1.60052375116862	-1.68700576417452	-2.98945385603331	-2.1767733400937	-1.57818633894453	-1.48462934073797	-4	-1.94919038263685
OTU_36694	-2.96217336800497	-2.71239593610882	-4	-3.74881292987031	-2.63872539743438	-4	-4	-4	-1.72180672576533	-4	-3.4104968812003	-3.08583895847839	-2.15836381550385	-3.58052760777296	-3.31322075458311	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_36826	-4	-4	-4	-4	-4	-4	-4	-3.07022643000878	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.34358370032305	-3.37326030850914	-4	-3.67039043639231	-3.40155631996872	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.5918595164035	-4	-3.31274079313291	-4	-4	-4	-3.70387975094136	-4	-3.47590885033803	-4	-4	-4	-4	-4	-4	-3.74118790362309	-4	-4	-4	-4	-4	-3.68818050370343	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.94585016486289	-4	-4
OTU_36847	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.71250851976391	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.04911032347892	-3.56137770981623	-4	-4	-4	-4	-4	-4	-4	-3.78755811886184	-3.79849677995009	-4	-3.12409078095609	-3.40968110148121	-3.57936437253311	-3.08500655107213	-2.89619002745908	-3.17936346465638	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_36909	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.26225951918921	-4	-1.9491564258618	-1.42232232710215	-2.45711153876702	-1.73168527108953	-2.8257109817591	-2.41270785057596	-2.15511595086561	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.59910105321374	-2.3450653645729	-2.97193978867222	-1.75455170522373	-2.27728552511797	-1.99883062025241	-1.58659206792768	-2.64083143344305	-1.67720843117815	-2.2415724616172	-2.24935753076978	-3.65734025886519	-2.06217590256835	-2.41172397592199	-2.76114519272509	-2.17928356678121	-2.07491366960984	-2.20843787521574	-1.93412808093236	-1.97149435977337	-2.86887550970842	-4	-2.53698846499728	-1.94115076657304	-3.51698006747648	-1.91715905119441	-2.11146556075302	-2.20331675582949	-3.11100076609459	-2.17365644540886	-2.21751404923171	-2.86344592348116	-2.43006819749855	-1.81909728958018	-2.77585244667047
OTU_36953	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.71250851976391	-3.53402234594703	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.14315331253087	-3.09969911659651	-3.55858736939791	-2.8327231381545	-2.69463662179536	-2.70753132628888	-2.62710879109669	-2.76583677164379	-4	-3.67647625252771	-3.6268174959482	-4	-4	-4	-4	-4	-4	-4	-3.7639087876569	-3.60861973061045	-3.46761192131457	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_36962	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.74176301593296	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.74730111053905	-2.67936006408842	-2.80963579840703	-4	-2.57593489411421	-4	-3.52943748653434	-4	-4	-4	-4	-4	-4	-4	-2.74208225840872	-3.23000402756387	-4	-3.49477636065015	-4	-4	-3.55451585256761	-3.50855150038243	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.63997701546714	-4	-3.48801890199317
OTU_37087	-3.59780352475723	-3.23674447764852	-2.82572841322336	-3.05396715770307	-2.6563877499598	-2.23092764866325	-2.29511775355946	-2.46813099017603	-2.47979804349186	-4	-4	-3.72105906516651	-2.38852942919581	-3.07978088162303	-3.75145784952013	-2.68969231423503	-4	-2.20525997222637	-2.6624001320908	-2.30222000114012	-3.36410429884324	-3.77255283395211	-2.92810576203239	-2.42295243013738	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.50457089428303	-4	-4	-4	-4	-3.27747425185685	-4	-4	-4	-4	-4	-4	-4	-2.78505554488632	-4	-4	-3.08847404360927	-4	-4	-4	-4	-1.83799702523641	-4	-3.04637460538125	-4	-4	-3.65915208159624	-4	-4	-4	-3.11057534157705
OTU_37124	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.36086224011979	-2.41716046704601	-4	-4	-4	-2.27964596368054	-2.21674550948625	-2.88913906796961	-3.88478474256715	-2.64003976523372	-3.0821661286549	-2.68115039356829	-2.47655054680948	-2.3898134213087	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.20774523747492	-2.85406548581709	-4	-4	-3.61628399188047	-4	-3.4053256011409	-4	-3.7493643775014	-4	-4	-2.54321464048416	-2.72837036154976	-2.82776239039811	-3.09693534590286	-4	-4	-4	-2.90177770645474	-4	-4	-3.68818050370343	-2.73506990512973	-4	-3.69453850202499	-4	-2.72359275993033	-2.94810369809102	-2.58955657087365	-3.30430049166645	-4	-2.4482811800966	-2.61550679968455	-3.00599082192198	-2.60848832402575
OTU_37145	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.95161305184089	-3.6001743324982	-3.91341465822447	-3.96231773861128	-4	-3.57478381423711	-3.81923839657997	-3.67618576648543	-3.7186396584885	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.54985625364325	-4	-3.23405441716445	-4	-4	-4	-4	-4	-3.47590885033803	-3.50316129929226	-4	-4	-3.42098325669939	-3.75192466811208	-3.38606269481662	-3.58013332428242	-4	-3.76107257974176	-4	-4	-3.26176883013305	-3.13656655471751	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.66674057278761	-3.0581938348632	-4	-4
